createdby,itemtotalprice,productname,description,modifiedon,createdon,itemprice,tax,itemquantity,ownerid,modifiedby,catalognumber,itemorder,productid,crmorderid,crmorderitemid,createdbyname,owneridname,modifiedbyname,productidname,crmorderidname,taxname
89F9D1ED-F191-4447-AA29-879331BA9B19,20880,החיים שלנו תותים,"מארז קרטון בגודל 23X17 מעוצב וממותג במילוי שוופס תות, צנצנת גומי תות , מרשמלו תות, מנטוס תות, במבה מתוקה וסוכריה על מקל בטעם תות.",2026-01-13 10:59:03.000,2026-01-13 10:56:16.613,58,1,360,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,5,7EB94CE9-AD64-4421-B7CE-34E76641EC09,A64C7A20-8A67-4488-91CF-C8080B753E70,4271BA0B-30C1-4C33-87C8-001951C3CA96,מירית יוסף,מירית יוסף,מירית יוסף,החיים שלנו תותים,7708,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,837.2882,חולצות ליום העצמאות,חולצות ממותגות עם הדפס בחזית החולצה,2026-04-09 13:25:56.000,2025-11-11 10:56:58.000,22.0339,2,38,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,10,,EDDEC25F-40E3-4070-B2C0-EBDA225C8110,FEAAB0C5-7B5B-4EFB-93B2-00405AD27F58,מירית יוסף,מירית יוסף,מירית יוסף,,7660,כולל
89F9D1ED-F191-4447-AA29-879331BA9B19,1850,שוקולד דובאי לבן,שוקולד לבן דובאי 100 גרם ללא מיתוג,2025-11-04 12:22:37.000,2025-11-04 12:22:37.000,18.5,1,100,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,FED6008C-738E-4A1C-9661-311DC4F03995,3C5DFC3D-17F7-4479-A15A-005E53AF92FE,מירית יוסף,מירית יוסף,מירית יוסף,,7652,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,140,משלוח,,2025-09-08 15:28:32.000,2025-09-08 15:28:32.000,140,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,7421F26B-E895-4CAE-96F2-F927036C9DA4,E6FD0A45-77A0-445B-887D-020BBEF57A85,מירית יוסף,מירית יוסף,מירית יוסף,,7620,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,5220,מארז קפה AIG,פחית קפה קר + כמה עוגיות שוקו ציפס + שקית קבוקים + עבאדי במארז קרטון ממותג,2025-10-22 12:05:19.000,2025-10-05 15:09:54.000,58,1,90,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,5,,4352D429-F6D2-4A71-883D-5CB2942E5680,ED743B71-D011-4A56-9141-0230335BC412,מירית יוסף,מירית יוסף,מירית יוסף,,7633,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,70,משלוח,,2025-12-24 14:10:01.000,2025-12-24 14:10:01.000,70,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,1130,2,E39354FD-5E92-449C-B768-73685BFDC451,3C5A3CAE-D705-431F-BF34-0115AC4BAB03,A057430F-66F4-4125-80B2-0276324F3C00,מירית יוסף,מירית יוסף,מירית יוסף,משלוח,7697,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,520,תיק צד,,2025-11-27 10:44:47.000,2025-11-13 12:40:39.000,20,1,26,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,100AE8E1-95BF-4C42-BF8D-C6626A0C3893,DB078F16-F5A3-4E43-9FCD-036CE7D2E0D7,מירית יוסף,מירית יוסף,מירית יוסף,,7663,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,1500,מבחנה ממותגת כולל מילוי,"מבחנה באורך של כ-13 ס""מ מעוצבת וממותגת במילוי של חליטת תה",2025-12-24 12:54:42.887,2025-12-24 12:54:42.887,10,1,150,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,56170676-D7A6-48D3-BFA7-389FBB46BD93,5BD39930-7A9C-462B-922D-E73775AAE4BF,686E91BD-F72E-4190-9F12-055FC265CC68,מירית יוסף,מירית יוסף,מירית יוסף,מבחנה ממותגת כולל מילוי,7696,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,2000,תיק קנבס,תיק קנבס ממותג בהדפסה צבעונית,2025-08-19 12:16:57.000,2025-08-19 12:16:57.000,20,1,100,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,382C5C50-002A-437F-B606-4FCB84786DCF,529412C9-91A7-46E9-9C6E-058829AAA63B,מירית יוסף,מירית יוסף,מירית יוסף,,7603,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,800,כיסוי עינים + אטמים,כיסוי עינים מותג + אטמים,2026-03-29 12:40:10.000,2026-03-29 12:40:10.000,20,1,40,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,4,,EBD41123-D422-4FCE-8E8E-0E611659DE9A,95F0F7C2-4B4E-42A8-8A80-09A0A33527A3,מירית יוסף,מירית יוסף,מירית יוסף,,7758,לפני
